emb_size,hidden_size,final_loss,final_accuracy
8,8,1.6409133672714233,tensor(0.3187)
8,16,1.1985933780670166,tensor(0.5875)
8,32,0.3749440908432007,tensor(0.8875)
8,64,0.00917765498161316,tensor(1.)
8,128,0.013295767828822136,tensor(0.9937)
16,8,1.840205192565918,tensor(0.3000)
16,16,1.07951021194458,tensor(0.5875)
16,32,0.45151644945144653,tensor(0.8375)
16,64,0.04142129048705101,tensor(0.9812)
16,128,0.009103385731577873,tensor(1.)
32,8,1.7623348236083984,tensor(0.3187)
32,16,1.1086928844451904,tensor(0.5562)
32,32,0.5741108059883118,tensor(0.7875)
32,64,0.11198067665100098,tensor(0.9625)
32,128,0.05672954395413399,tensor(0.9812)
64,8,1.6662158966064453,tensor(0.3187)
64,16,1.1694765090942383,tensor(0.5375)
64,32,0.48250776529312134,tensor(0.8375)
64,64,0.17416565120220184,tensor(0.9438)
64,128,0.07146433740854263,tensor(0.9750)
