emb_size,hidden_size,final_loss,final_accuracy
8,8,1.8403072357177734,0.3438
8,16,1.4877265691757202,0.3875
8,32,1.0452266931533813,0.6062
8,64,0.14632076025009155,0.9438
8,128,0.04882798343896866,0.9875
16,8,1.7927982807159424,0.3250
16,16,1.4183170795440674,0.4375
16,32,0.7481818795204163,0.7250
16,64,0.09368597716093063,0.9812
16,128,0.01565065048635006,0.9937
32,8,1.9276831150054932,0.2688
32,16,1.4421207904815674,0.4313
32,32,0.8686395883560181,0.6438
32,64,0.08653026074171066,0.9812
32,128,0.0013773482060059905,1.
64,8,1.863506555557251,0.3250
64,16,1.3894578218460083,0.4812
64,32,0.6639158725738525,0.7188
64,64,0.0650954395532608,0.9875
64,128,0.0026503577828407288,1.
